book_id,work_id,isbn,authors,original_publication_year,title_x,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,genre,pages,_merge,to_read_count
22,1145090,316166685,Alice Sebold,2002.0,The Lovely Bones,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,"Fiction,Mystery,Young Adult,Contemporary,Fantasy,Mystery,Crime,Adult,Adult Fiction,Drama,Thriller",372.0,both,925.0
23,6231171,439064864,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,"Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Childrens,Middle Grade,Adventure,Audiobook,Classics,Science Fiction Fantasy",341.0,both,408.0
24,3046572,439139600,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,,,left_only,431.0
25,2963218,545010225,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,,,left_only,484.0
26,2982101,307277674,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,,,left_only,447.0
27,41335427,439785960,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,,,left_only,438.0
30,13306276,297859382,Gillian Flynn,2012.0,Gone Girl,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,,,left_only,801.0
31,4717423,399155341,Kathryn Stockett,2009.0,The Help,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,,,left_only,1417.0
33,1558965,739326228,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,,,left_only,1094.0
34,15732562,1612130291,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,"Romance,Fiction,Adult Fiction,Erotica,Adult,Erotica,BDSM,Contemporary,Womens Fiction,Chick Lit,Romance,Contemporary Romance,Romance,Erotic Romance,Adult Fiction",356.0,both,450.0
35,4835472,61122416,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,,,left_only,1576.0
36,2543234,385732554,Lois Lowry,1993.0,"The Giver (The Giver, #1)",4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,,,left_only,1211.0
38,2153746,965818675,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,746287,1308667,43382,44339,85429,257805,427210,493884,,,left_only,1130.0
39,1466917,553588486,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,1442220,46205,19988,28983,114092,404583,874574,"Fantasy,Fiction,Fantasy,Epic Fantasy,Adult,Science Fiction Fantasy,Fantasy,High Fantasy,Adventure,Audiobook,Fantasy,Dragons,Epic",835.0,both,1619.0
40,3352398,143038419,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,,,left_only,862.0
41,3346751,786838655,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,,,left_only,863.0
44,1498135,553816713,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,,,left_only,445.0
45,1392700,770430074,Yann Martel,2001.0,Life of Pi,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,,,left_only,1717.0
46,3441236,1565125606,Sara Gruen,2006.0,Water for Elephants,4.07,1068146,1108839,55732,16705,49832,200154,417328,424820,,,left_only,1325.0
47,878368,375831002,Markus Zusak,2005.0,The Book Thief,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,,,left_only,2772.0
49,3203964,316160199,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,1149630,1199000,44020,102837,160660,294207,290612,350684,,,left_only,242.0
50,30518,60513039,Shel Silverstein,1974.0,Where the Sidewalk Ends,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,,,left_only,269.0
51,2267189,1416914285,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,1241799,51589,34122,65349,203466,356048,582814,,,left_only,1047.0
52,2675454,316160202,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",3.69,1134511,1176642,35216,83094,124293,260763,309358,399134,,,left_only,259.0
53,3178011,375826696,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,"Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Science Fiction Fantasy,Young Adult,Young Adult Fantasy,Childrens",503.0,both,625.0
54,3078186,345391802,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,1006479,20345,21764,41962,145173,299579,498001,,,left_only,1339.0
56,2960529,031606792X,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,"Young Adult,Fantasy,Romance,Paranormal,Vampires,Fiction,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Shapeshifters,Werewolves,Fantasy,Urban Fantasy",756.0,both,287.0
57,3275013,142001740,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,916189,937393,26522,17500,45455,185631,347540,341267,,,left_only,998.0
60,4259809,1400032717,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,867553,915790,35796,21049,58117,218218,355925,262481,"Fiction,Mystery,Young Adult,Contemporary,Novels,Classics,Psychology,Literature,Realistic Fiction,Academic,School",226.0,both,1129.0
61,41107568,1594633665,Paula Hawkins,2015.0,The Girl on the Train,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,,,left_only,1435.0
62,1536771,679879242,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",3.94,953970,994914,14915,38382,64591,198764,313147,380030,"Fantasy,Young Adult,Fiction,Childrens,Adventure,Science Fiction,Childrens,Middle Grade,Science Fiction Fantasy,Science Fiction,Steampunk,Classics",399.0,both,694.0
64,1639903,743454537,Jodi Picoult,2004.0,My Sister's Keeper,4.06,863879,887880,30719,17547,42763,162573,314003,350994,"Fiction,Contemporary,Womens Fiction,Chick Lit,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,Family,Novels",423.0,both,557.0
65,1683562,385333846,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,4.06,846488,891762,19646,24964,45518,152442,300948,367890,,,left_only,1608.0
67,3271379,1594489505,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,818742,866065,43645,6509,18015,99030,295817,446694,"Fiction,Historical,Historical Fiction,Contemporary,Novels,Historical,War,Adult,Adult Fiction,Drama,Literature",372.0,both,1352.0
68,2236198,671027344,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,888806,954905,47116,14286,38658,143440,297501,461020,,,left_only,1257.0
69,15524542,7442912,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",4.07,836362,947338,55873,10641,44620,182131,339977,369969,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic,Action",525.0,both,716.0
70,2422333,812550706,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",4.3,813439,873417,38054,15330,27612,103439,264207,462829,,,left_only,1082.0
72,849585,450040186,Stephen King,1977.0,The Shining (The Shining #1),4.17,791850,830881,14936,18487,28981,123862,277393,382158,"Horror,Fiction,Thriller,Classics,Fantasy,Mystery,Fantasy,Paranormal,Suspense,Novels,Adult",659.0,both,587.0
73,3328799,316068047,Stephenie Meyer,2008.0,"The Host (The Host, #1)",3.84,749780,777560,39778,44215,62501,154906,227180,288758,"Young Adult,Science Fiction,Fantasy,Romance,Fiction,Science Fiction,Dystopia,Fantasy,Paranormal,Science Fiction,Aliens,Adult,Romance,Paranormal Romance",624.0,both,690.0
74,919292,142402516,John Green,2005.0,Looking for Alaska,4.09,783470,831285,47128,16940,44232,147324,262932,359857,,,left_only,1101.0
75,3185154,014028009X,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,754498,8157,28973,59309,198555,254836,212825,,,left_only,348.0
77,1679789,439244196,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",3.93,747445,764637,15832,15495,43786,176946,269153,259257,,,left_only,260.0
78,38765,307275558,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,679845,8024,24231,58323,192366,226675,178250,,,left_only,331.0
81,2944133,074324754X,Jeannette Walls,2005.0,The Glass Castle,4.24,621099,637866,40777,7901,18922,85191,227750,298102,,,left_only,928.0
82,3284484,385486804,Jon Krakauer,1996.0,Into the Wild,3.94,647684,665377,17299,19229,35567,135199,248287,227095,,,left_only,714.0
84,3376836,030734813X,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",3.96,447833,650483,8143,15736,34222,138327,231583,230615,,,left_only,281.0
85,30530,60256656,Shel Silverstein,1964.0,The Giving Tree,4.38,702332,708287,14368,15345,20408,76071,167542,428921,,,left_only,299.0
86,1804929,385338600,John Grisham,1989.0,A Time to Kill,4.03,597775,608824,4239,12106,25938,122675,218617,229488,,,left_only,214.0
88,3364505,014241493X,John Green,2008.0,Paper Towns,3.88,461311,655271,42717,14105,47183,154479,223895,215609,,,left_only,539.0
89,992628,345418263,William Goldman,1973.0,The Princess Bride ,4.25,628637,658042,15630,12883,21641,89236,196047,338235,,,left_only,1458.0
90,1426690,014038572X,S.E. Hinton,1967.0,The Outsiders,4.06,659248,680437,22662,10178,34346,134244,227250,274419,,,left_only,358.0
91,6366642,385737947,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",4.02,719925,777956,48942,15291,43370,150488,266698,302109,,,left_only,1009.0
92,5397,61234001,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,549301,13668,14586,26538,115789,216316,176072,"Nonfiction,Economics,Business,Science,Psychology,Sociology,Economics,Finance,Politics,Audiobook,Social Science",268.0,both,782.0
94,3295655,60531045,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,4.04,490565,575667,21671,27340,37646,87675,155809,267197,,,left_only,1460.0
96,18034963,345803507,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,610116,25287,39079,55691,109963,140304,265079,"Romance,Adult Fiction,Erotica,Fiction,Erotica,BDSM,Adult,Contemporary,Romance,Contemporary Romance,Womens Fiction,Chick Lit,Romance,Erotic Romance,Adult Fiction",579.0,both,175.0
98,6976108,307269981,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,649253,31423,4623,15781,91021,258236,279592,,,left_only,495.0
99,16813814,1612130585,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,623340,28052,37245,58935,114203,150906,262051,"Romance,Adult Fiction,Erotica,Fiction,Erotica,BDSM,Adult,Contemporary,Romance,Contemporary Romance,Womens Fiction,Chick Lit,Romance,Erotic Romance,Adult Fiction",532.0,both,226.0
100,810663,60786507,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,546502,562787,19941,21699,33702,92590,175725,239071,,,left_only,1049.0
101,1030767,349113912,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,495736,514276,14982,19718,29034,93427,178021,194076,,,left_only,821.0
102,3020535,99408392,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,620618,636061,9102,15392,27532,93700,167043,332394,,,left_only,192.0
104,3355573,307265439,Cormac McCarthy,2006.0,The Road,3.95,504793,555787,38980,20086,36561,100989,190823,207328,,,left_only,1023.0
105,15524549,7524277,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",3.63,463257,663226,62536,31626,78366,176061,192785,184388,,,left_only,513.0
107,3143497,446693804,Nicholas Sparks,1999.0,A Walk to Remember,4.15,546948,559581,11071,10640,24094,94327,169650,260870,,,left_only,280.0
108,3237433,440241413,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,558004,11170,30705,56949,156636,166927,146787,,,left_only,225.0
110,3272005,553381695,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,606765,20325,1788,7104,56167,221706,320000,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Adult,Adventure,Fantasy,Dragons,Audiobook,Epic",969.0,both,584.0
111,2868431,143037145,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,501430,510582,18027,19453,47004,145437,183150,115538,"Fiction,Contemporary,Adult Fiction,Adult,Historical,Historical Fiction,Book Club,Drama,Womens Fiction,Chick Lit,Novels,Family",401.0,both,759.0
112,17763198,670026603,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",4.27,587647,741133,71412,10346,21880,91517,249474,367916,,,left_only,913.0
113,814330,684833395,Joseph Heller,1961.0,Catch-22,3.98,563265,582515,13734,20639,37912,106269,186745,230950,"Classics,Fiction,Historical,Historical Fiction,War,Humor,Literature,Novels,Unfinished,Literature,American,Historical",453.0,both,1840.0
114,1995335,751529818,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,556518,584397,19272,11507,30534,107446,194448,240462,,,left_only,386.0
115,1352495,312422156,Jeffrey Eugenides,2002.0,Middlesex,3.98,488243,507998,20880,19329,30503,89740,171099,197327,,,left_only,1285.0
117,948387,440498058,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,650094,19413,17313,34988,119115,209745,268933,,,left_only,815.0
118,1955658,143038095,Amy Tan,1989.0,The Joy Luck Club,3.9,515090,525243,6708,14802,30197,116748,195930,167566,,,left_only,493.0
119,1119185,038549081X,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,607889,683564,35925,13998,32561,116975,252942,267088,,,left_only,1499.0
120,1058370,385729332,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,536604,6477,14996,42396,152024,177404,149784,,,left_only,219.0
122,1479280,60987103,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,525498,22926,40802,65835,132061,153583,133217,,,left_only,866.0
123,38270,582418275,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",3.99,488269,488355,3139,5075,20119,111543,190966,160652,,,left_only,163.0
124,9585076,316098337,Emma Donoghue,2010.0,Room,4.03,511360,556327,42254,11020,26079,99831,217995,201402,,,left_only,1071.0
126,3634639,340839937,Frank Herbert,1965.0,Dune (Dune Chronicles #1),4.19,485032,525976,13239,13354,22778,74206,154771,260867,,,left_only,862.0
127,2124255,316346624,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,499066,10895,15111,25871,106453,189120,162511,,,left_only,741.0
128,16005831,1451648537,Walter Isaacson,2011.0,Steve Jobs,4.09,560715,579256,15198,19680,21986,88456,203975,245159,"Biography,Nonfiction,Business,Science,Technology,History,Biography Memoir,Audiobook,Leadership,Autobiography,Memoir,Biography,Autobiography",627.0,both,740.0
129,2100252,451163966,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,491642,514458,7855,5672,15978,78714,191622,222472,,,left_only,1181.0
132,2561472,1401308589,Mitch Albom,2003.0,The Five People You Meet in Heaven,3.9,449501,474699,16682,12360,33669,107800,155830,165040,,,left_only,501.0
134,3443248,1416914307,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",4.34,593173,630560,22736,6646,17351,79202,179290,348071,,,left_only,429.0
135,1164465,055357342X,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,527644,19497,1456,4820,36418,149268,335682,,,left_only,567.0
136,1010054,006075995X,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,470508,3867,15795,35314,120396,158451,140552,"Fiction,Womens Fiction,Chick Lit,Contemporary,Adult Fiction,American,Southern,Adult,Historical,Historical Fiction,Novels,Humor,Womens",383.0,both,222.0
137,2489796,440242940,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",4.2,515547,578842,36707,20998,27673,73126,147085,309960,"Historical,Historical Fiction,Romance,Fantasy,Fiction,Science Fiction,Time Travel,Historical,Romance,Historical Romance,Adult,Audiobook,Cultural,Scotland",850.0,both,1172.0
139,14345371,1594744769,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,672222,53569,14920,45434,159227,234792,217849,,,left_only,1650.0
140,12883496,030726999X,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,526791,26766,3823,14773,78387,203297,226511,,,left_only,546.0
141,21825181,804139024,Andy Weir,2012.0,The Martian,4.39,423344,529702,61298,4114,10856,49200,173861,291671,,,left_only,844.0
142,3359698,451207149,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,495893,26283,9248,16886,57825,148052,263882,,,left_only,1014.0
143,25491300,1476746583,Anthony Doerr,2014.0,All the Light We Cannot See,4.31,470001,547827,53413,6209,14527,61020,185239,280832,,,left_only,1967.0
144,12946965,1400064163,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,528552,41572,10308,12874,47828,144203,313339,,,left_only,883.0
145,3135896,671027387,Dan Brown,2001.0,Deception Point,3.67,455610,479733,7798,14380,45006,143182,160819,116346,,,left_only,257.0
146,24065147,316055433,Donna Tartt,2013.0,The Goldfinch,3.87,396756,463847,44631,19164,35300,93459,153459,162465,,,left_only,1342.0
147,2588213,1595141715,Jay Asher,2007.0,Thirteen Reasons Why,4.02,463783,571281,43467,15246,35668,105414,179197,235756,,,left_only,632.0
148,3358875,452287022,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,467577,492177,8011,11525,28287,123463,189656,139246,,,left_only,464.0
149,4422413,525421033,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",3.96,503527,567087,34959,12666,34896,122977,190793,205755,,,left_only,659.0
150,1041558,312353766,Anita Diamant,1997.0,The Red Tent,4.16,424981,449217,17234,9470,19616,67878,146178,206075,,,left_only,686.0
151,43554,786856866,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,550512,20097,2967,13884,91127,188988,253546,,,left_only,221.0
152,3222389,446528056,Nicholas Sparks,2006.0,Dear John,4.01,441062,454781,10626,9683,25220,94711,145202,179965,,,left_only,192.0
153,1575860,1416914293,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,586008,23643,6135,20075,92626,192934,274238,"Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Fantasy,Supernatural,Paranormal,Angels,Fantasy,Magic",453.0,both,356.0
156,1789440,031232118X,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,435189,11567,16019,29297,104322,148507,137044,,,left_only,295.0
157,86934,394800168,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,457475,461041,7370,6605,14530,66873,121751,251282,,,left_only,150.0
158,2765786,142403881,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,494747,8473,6236,17193,94240,178216,198862,,,left_only,205.0
159,2377629,1423101464,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,537708,14098,2435,8093,62108,172289,292783,,,left_only,248.0
163,10107891,142311339X,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,489495,17107,5020,11267,58590,148498,266120,,,left_only,121.0
164,17225055,1250012570,Rainbow Rowell,2013.0,Eleanor & Park,4.11,514312,579753,53005,12904,26371,94470,196224,249784,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Teen,Young Adult,Coming Of Age,Young Adult,Young Adult Contemporary,Young Adult,High School",328.0,both,921.0
165,1019062,055358202X,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,481130,18876,3170,18574,94401,175973,189012,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Adult,Adventure,Fantasy,Dragons,Audiobook,Epic",1061.0,both,637.0
166,9631645,525423648,Ally Condie,2010.0,"Matched (Matched, #1)",3.68,511815,530680,30226,24343,53804,138030,165412,149091,,,left_only,682.0
167,1970226,747263744,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",4.11,378019,518343,27587,9888,24944,83253,178346,221912,,,left_only,1188.0
168,1742269,385199570,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,438832,469953,13808,5647,13612,56722,134098,259874,"Horror,Fiction,Fantasy,Science Fiction,Apocalyptic,Post Apocalyptic,Thriller,Science Fiction,Dystopia,Science Fiction,Apocalyptic,Audiobook,Classics",1152.0,both,548.0
169,6588800,446547565,Nicholas Sparks,2008.0,The Last Song,4.14,424637,438429,11051,7253,17803,77712,140241,195420,,,left_only,208.0
170,40195,552151696,Dan Brown,1998.0,Digital Fortress,3.6,423019,447503,7538,16592,47507,136196,144029,103179,,,left_only,226.0
173,23596,393312836,Anthony Burgess,1962.0,A Clockwork Orange,3.98,431195,454391,9958,14741,24244,84863,163488,167055,,,left_only,1292.0
174,2666268,964729237,William Paul Young,2007.0,The Shack,3.74,419539,438292,29377,35734,42977,84751,111923,162907,,,left_only,377.0
175,4551489,739380338,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,499510,17693,2098,6501,45208,133168,312535,,,left_only,246.0
176,150259,451169514,Stephen King,1986.0,It,4.18,292592,479381,11698,8464,19610,75841,148672,226794,,,left_only,267.0
178,1385044,61148512,Sylvia Plath,1963.0,The Bell Jar,3.98,401605,442157,15963,8266,23983,92408,162216,155284,,,left_only,1104.0
179,2883783,7205236,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,419746,9798,7657,18327,73550,155775,164437,,,left_only,370.0
181,1940709,679745580,Truman Capote,1965.0,In Cold Blood,4.05,381652,401839,11754,10639,17836,70857,144616,157891,"Nonfiction,Classics,Crime,True Crime,Mystery,Crime,Mystery,History,Thriller,Literature,Literature,American,Biography",343.0,both,836.0
182,6488966,316042676,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,458518,20808,19917,43525,113352,132492,149232,,,left_only,641.0
183,6674837,1416975861,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,515759,24385,8364,15544,61409,140928,289514,,,left_only,857.0
184,1015554,141301066,"Roald Dahl, Quentin Blake",1988.0,Matilda,4.29,440743,463491,11053,4277,10823,64536,152003,231852,,,left_only,188.0
185,14245059,385534639,Erin Morgenstern,2011.0,The Night Circus,4.03,429543,474826,54008,11349,28650,84254,159596,190977,,,left_only,1502.0
186,3248536,743227441,Philippa Gregory,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,399223,15846,5311,16716,78620,153807,144769,,,left_only,503.0
187,2895388,689865384,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",3.86,449073,464589,21234,15531,34808,106086,151540,156624,,,left_only,795.0
190,17237712,307592731,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,420903,34444,8344,22137,85489,165482,139451,"Nonfiction,Autobiography,Memoir,Travel,Biography,Adventure,Audiobook,Biography Memoir,Biography,Autobiography,Environment,Nature,Book Club",315.0,both,823.0
191,4358649,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,4.35,398018,409323,10851,6349,11732,44847,116877,229518,,,left_only,387.0
192,2502879,075640407X,Patrick Rothfuss,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,449372,28631,5605,8582,28480,95470,311235,,,left_only,1050.0
193,3364437,316017922,Malcolm Gladwell,2008.0,Outliers: The Story of Success,4.11,353011,369126,19383,4494,12545,62510,148978,140599,,,left_only,665.0
